"full-unstyled-link href","motion-reduce src","full-unstyled-link","vendor-name","linked-product__image src","linked-product__link href 2","linked-product__image src 2","linked-product__link href 3","linked-product__image src 3","product-flag 2","product-card-link","price-item","linked-product__link href 4","linked-product__image src 4","linked-product__link href 5","linked-product__image src 5","product-flag 3"
"https://www.gibson.com/products/gibson-sg-standard-61-stop-bar-pelham-blue","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/SG6125PBNH3_221650195_1_Body.png?v=1761764887&width=720","SG Standard '61 Stop Bar, Exclusive","Gibson","https://www.gibson.com/cdn/shop/files/SG6125PBNH3_221650195_1_Body.png?v=1761764887&width=250","https://www.gibson.com/products/gibson-sg-standard-61-stop-bar-vintage-cherry","https://www.gibson.com/cdn/shop/files/5d245819-caf7-423a-9aa5-c3f485a069a0.webp?v=1744040122&width=250","https://www.gibson.com/products/gibson-sg-standard-61-stop-bar-british-racing-green","https://www.gibson.com/cdn/shop/files/SG6125BGNH3_222350101_1_Body.png?v=1761575599&width=250","Exclusive","Pelham Blue","$1,999","","","","",""
"https://www.gibson.com/products/gibson-explorer-80s-silverburst","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/DSXE25SBCH3_224150270_1_Body.png?v=1761764490&width=720","Explorer 80s, Exclusive","Gibson","https://www.gibson.com/cdn/shop/files/DSXE25SBCH3_224150270_1_Body.png?v=1761764490&width=250","https://www.gibson.com/products/gibson-80s-explorer-ebony","https://www.gibson.com/cdn/shop/files/DSXE00EBCH1_body.png?v=1745258465&width=250","https://www.gibson.com/products/gibson-explorer-80s-british-racing-green","https://www.gibson.com/cdn/shop/files/DSXE25BGCH3_221750072_1_Body.png?v=1761575839&width=250","Exclusive","Silverburst","$2,499","https://www.gibson.com/products/gibson-80s-explorer-exclusive-classic-white","https://www.gibson.com/cdn/shop/files/DSXE00CWCH1_body.png?v=1745258701&width=250","https://www.gibson.com/products/gibson-explorer-80s-cherry","https://www.gibson.com/cdn/shop/files/DSXE00CHCH1_218450135_1_Body.png?v=1756222388&width=250",""
"https://www.gibson.com/products/gibson-custom-1956-les-paul-standard-reissue-with-bigsby-double-gold","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/LPR56PSL22877_65469_1_Body.png?v=1761764740&width=720","1956 Les Paul Standard Reissue with Bigsby, VOS","Gibson Custom","https://www.gibson.com/cdn/shop/files/LPR56PSL22877_65469_1_Body.png?v=1761764740&width=250","","","","","Custom Select","All Double Gold","$7,599","","","","","Exclusive"
"https://www.gibson.com/products/gibson-custom-select-les-paul-custom-figured-maple-heartwood-gloss-light-charcoal","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/LPCPSL22876_CS503010_1_Body.png?v=1761759148&width=720","Les Paul Custom with Figured Maple Heartwood Top, Gloss","Gibson Custom","https://www.gibson.com/cdn/shop/files/LPCPSL22876_CS503010_1_Body.png?v=1761759148&width=250","","","","","Custom Select","Light Charcoal","$7,199","","","","","Exclusive"
"https://www.gibson.com/products/gibson-custom-1957-les-paul-standard-reissue-vos-copper-iridescent","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/LPR57PSL22870_751552_1_Body.png?v=1761759256&width=720","1957 Les Paul Standard Reissue, VOS","Gibson Custom","https://www.gibson.com/cdn/shop/files/LPR57PSL22870_751552_1_Body.png?v=1761759256&width=250","https://www.gibson.com/products/gibson-custom-1957-les-paul-goldtop-reissue-vos-double-gold","https://www.gibson.com/cdn/shop/files/LPR57VODBDGNH_front_body.webp?v=1744218112&width=250","","","Custom Select","Copper Iridescent","$5,799","","","","","Exclusive"
"https://www.gibson.com/products/gibson-custom-1963-les-paul-sg-custom-copper-iridescent-vos","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/SGC63PSL22869_505333_1_Body.png?v=1761759330&width=720","1963 Les Paul SG Custom Reissue, VOS","Gibson Custom","https://www.gibson.com/cdn/shop/files/SGC63PSL22869_505333_1_Body.png?v=1761759330&width=250","https://www.gibson.com/products/gibson-custom-1963-les-paul-sg-custom-reissue-3-pickup-w-maestro-vos-classic-white","https://www.gibson.com/cdn/shop/files/d2deea33-6078-47e9-8ac7-11589e2c365e.webp?v=1744040946&width=250","","","Custom Select","Copper Iridescent","$7,799","","","","","Exclusive"
"https://www.gibson.com/products/sg-custom-heartwood-light-charcoal-top-gloss-gh","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/SGCPSL22875_CS503164_1_Body.png?v=1761759376&width=720","SG Custom with Figured Maple Heartwood Top, Gloss","Gibson Custom","https://www.gibson.com/cdn/shop/files/SGCPSL22875_CS503164_1_Body.png?v=1761759376&width=250","","","","","Custom Select","Light Charcoal","$6,499","","","","","Exclusive"
"https://www.gibson.com/products/gibson-les-paul-junior-double-cut-ebony","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/LPJD00EBNH1_203650027_1_Body.webp?v=1755528608&width=720","Les Paul Junior Double Cut","Gibson","https://www.gibson.com/cdn/shop/files/LPJD00EBNH1_203650027_1_Body.webp?v=1755528608&width=250","https://www.gibson.com/products/gibson-les-paul-junior-double-cut-vintage-cherry","https://www.gibson.com/cdn/shop/files/LPJD00VENH1_212050242_1_Body.png?v=1761598461&width=250","","","","Ebony","$1,699","","","https://www.gibson.com/products/gibson-les-paul-junior-double-cut-tv-yellow","https://www.gibson.com/cdn/shop/files/LPJD00TVNH1_212550015_1_Body.png?v=1761597379&width=250",""
"https://www.gibson.com/products/gibson-les-paul-junior-double-cut-vintage-cherry","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/LPJD00VENH1_212050242_1_Body.png?v=1761598461&width=720","Les Paul Junior Double Cut","Gibson","https://www.gibson.com/cdn/shop/files/LPJD00VENH1_212050242_1_Body.png?v=1761598461&width=250","https://www.gibson.com/products/gibson-les-paul-junior-double-cut-ebony","https://www.gibson.com/cdn/shop/files/LPJD00EBNH1_203650027_1_Body.webp?v=1755528608&width=250","","","","Vintage Cherry","$1,699","","","https://www.gibson.com/products/gibson-les-paul-junior-double-cut-tv-yellow","https://www.gibson.com/cdn/shop/files/LPJD00TVNH1_212550015_1_Body.png?v=1761597379&width=250",""
"https://www.gibson.com/products/gibson-les-paul-junior-double-cut-tv-yellow","https://cdn.shopify.com/s/files/1/0659/3966/9171/files/LPJD00TVNH1_212550015_1_Body.png?v=1761597379&width=720","Les Paul Junior Double Cut","Gibson","https://www.gibson.com/cdn/shop/files/LPJD00TVNH1_212550015_1_Body.png?v=1761597379&width=250","https://www.gibson.com/products/gibson-les-paul-junior-double-cut-vintage-cherry","https://www.gibson.com/cdn/shop/files/LPJD00VENH1_212050242_1_Body.png?v=1761598461&width=250","","","","TV Yellow","$1,699","","","https://www.gibson.com/products/gibson-les-paul-junior-double-cut-ebony","https://www.gibson.com/cdn/shop/files/LPJD00EBNH1_203650027_1_Body.webp?v=1755528608&width=250",""
